target,split,model,MAE,RMSE,R2
Revenue,valid,lightgbm_log1p,538810.5503625065,789449.3185964094,0.7687996456916651
Revenue,test_like,lightgbm_log1p,627078.7553596327,857747.7771144983,0.7373926165395874
COGS,valid,lightgbm_log1p,475263.28145980457,735595.0284970787,0.7368493298765875
COGS,test_like,lightgbm_log1p,542177.1352769512,744307.161901427,0.7395937518182711
COGS,walk_forward_avg,lag_1,602416.0707534247,893413.7521917075,0.6067722000764049
COGS,walk_forward_avg,lag_365,854300.0764178082,1182830.584638241,0.17245724120289949
COGS,walk_forward_avg,lightgbm_log1p_ts_cv,542446.6754666506,757494.0959633337,0.7145424017328816
Revenue,walk_forward_avg,lag_1,677763.7589041096,998281.802152261,0.6327204444072542
Revenue,walk_forward_avg,lag_365,1086472.1804931508,1505927.3482173276,-0.040090301556185204
Revenue,walk_forward_avg,lightgbm_log1p_ts_cv,612946.5860854478,838122.5145813087,0.7405407062029241
