feature,importance
dayofmonth,584
cogs_lag_365,387
dayofweek,335
lag_7,334
lag_1,323
total_payment_value_lag_1,279
lag_365,268
lag_14,214
cogs_lag_7,209
bounce_rate_lag_1,170
cogs_lag_14,165
cogs_lag_30,162
avg_session_duration_sec_rolling_7,147
avg_session_duration_sec_lag_1,138
avg_rating_lag_1,131
avg_payment_value_lag_1,130
avg_installments_rolling_7,127
cogs_lag_1,111
avg_shipping_fee_lag_1,110
pageviews_per_session_rolling_30,110
rolling_std_7,108
items_per_order_lag_1,108
avg_session_duration_sec_rolling_30,107
return_rate_lag_1,107
page_views_lag_1,106
cancel_rate_lag_1,103
total_refund_amount_lag_1,102
cogs_rolling_std_7,101
pageviews_per_session_lag_1,98
avg_installments_lag_1,92
orders_source_direct_lag_1,92
avg_delivery_days_lag_1,91
cancel_rate_rolling_7,87
pageviews_per_session_rolling_7,87
avg_rating_rolling_7,86
avg_delivery_days_rolling_30,83
avg_installments_rolling_30,82
items_per_order_rolling_7,82
orders_source_referral_lag_1,81
avg_rating_rolling_30,81
shipment_count_lag_1,81
avg_delivery_days_rolling_7,79
rolling_std_30,79
return_rate_rolling_7,78
orders_source_organic_search_lag_1,77
discount_per_order_lag_1,77
cogs_rolling_mean_7,77
delivered_rate_lag_1,75
total_payment_value_rolling_7,75
bounce_rate_rolling_7,74
orders_device_mobile_lag_1,72
return_rate_rolling_30,72
cogs_rolling_std_30,72
rolling_mean_7,69
cancel_rate_rolling_30,68
delivered_rate_rolling_30,66
conversion_rate_rolling_30,66
bounce_rate_rolling_30,65
avg_discount_value,65
lag_30,65
orders_source_paid_search_lag_1,64
conversion_rate_rolling_7,64
orders_device_desktop_lag_1,63
return_count_rolling_7,62
month,62
sessions_lag_1,62
avg_shipping_fee_rolling_7,61
items_per_order_rolling_30,61
delivered_rate_rolling_7,60
orders_device_tablet_lag_1,56
review_count_rolling_30,56
orders_source_social_media_lag_1,55
review_count_lag_1,55
total_refund_amount_rolling_7,55
avg_payment_value_rolling_7,53
total_orders_lag_1,53
orders_source_email_campaign_lag_1,52
cogs_rolling_mean_30,47
total_discount_amount_rolling_30,47
unique_visitors_lag_1,46
orders_source_referral_rolling_7,46
total_quantity_sold_lag_1,46
return_count_lag_1,46
stockout_rate,45
review_count_rolling_7,44
shipment_count_rolling_7,44
conversion_rate_lag_1,44
total_discount_amount_rolling_7,44
orders_device_tablet_rolling_7,43
avg_days_of_supply,42
total_refund_amount_rolling_30,42
promo_line_count_lag_1,42
cancelled_orders_lag_1,39
cancelled_orders_rolling_7,39
promo_line_count_rolling_30,39
returned_orders_lag_1,39
overstock_rate,37
avg_payment_value_rolling_30,35
delivered_orders_lag_1,35
orders_source_email_campaign_rolling_7,34
rolling_mean_30,33
total_payment_value_rolling_30,33
orders_source_paid_search_rolling_7,32
page_views_rolling_7,31
orders_device_desktop_rolling_7,31
return_count_rolling_30,30
discount_per_order_rolling_30,29
returned_orders_rolling_30,29
avg_stockout_days,28
page_views_rolling_30,28
orders_source_organic_search_rolling_7,27
total_discount_amount_lag_1,27
orders_source_social_media_rolling_7,27
avg_sell_through_rate,26
orders_device_tablet_rolling_30,25
discount_per_order_rolling_7,25
avg_shipping_fee_rolling_30,25
year,24
unique_visitors_rolling_7,23
orders_source_direct_rolling_7,23
returned_orders_rolling_7,22
sessions_rolling_30,22
sessions_rolling_7,21
orders_source_direct_rolling_30,21
promo_line_count_rolling_7,20
orders_device_mobile_rolling_7,18
orders_source_email_campaign_rolling_30,18
total_quantity_sold_rolling_7,17
orders_source_referral_rolling_30,15
delivered_orders_rolling_7,14
cancelled_orders_rolling_30,14
total_quantity_sold_rolling_30,12
orders_source_organic_search_rolling_30,11
orders_source_social_media_rolling_30,11
shipment_count_rolling_30,11
orders_source_paid_search_rolling_30,11
unique_visitors_rolling_30,10
payment_per_order_lag_1,10
total_orders_rolling_30,7
total_orders_rolling_7,7
orders_device_desktop_rolling_30,6
avg_fill_rate,5
delivered_orders_rolling_30,3
orders_device_mobile_rolling_30,3
payment_per_order_rolling_7,3
quarter,2
active_promo_count,2
payment_per_order_rolling_30,1
reorder_rate,0
has_web_traffic,0
has_any_promo,0
stacked_promo_count_rolling_7,0
stacked_promo_count_lag_1,0
stacked_promo_count_rolling_30,0
weekend_flag,0
